Approved_symbol	Previous_symbols	Gene_group_ID	NCBI_Gene_ID
AIFM2	AMID	2258	84883
AIFM3			150209
AIG1			51390
AIG1P1			<NA>
AIH1			<NA>
AIH2			<NA>
AIH3			<NA>
AIM2		995|994	9447
AIMP1	SCYE1	2116	9255
AIMP1P1	SCYE1P		170547
AIMP1P2			100873064
AIMP2		2116|1835	7965
AIP		910|1691	9049
AIPL1	LCA4	910	23746
AIRE	APECED	88	326
AIRIM	C1orf109		54955
AIRN		1992	100271873
AIS1			<NA>
AIS2			<NA>
AIS3			<NA>
AJAP1			55966
AJM1	C9orf172		389813
AJUBA	JUB	1403	84962
AJUBA-DT		1990	107984660
AK1		1691|356	203
AK2		356	204
AK2P1			266920
AK2P2			339736
AK3	AK6|AK3L1	356	50808
AK3P2			100419074
AK3P3			100419075
AK3P4			100129959
AK3P5			100288319
AK3P6			100873789
AK3P7			<NA>
AK4	AK3|AK3L1	356	205
AK4P1	AK3P1		206
AK4P2			100132104
AK4P3	AK3L2		645619
AK4P4			100128705
AK4P5			100526416
AK4P6			649288
AK5		356	26289
AK6		1729|356	102157402
AK6			<NA>
AK6P1			100132086
AK6P2			100128817
AK7		1491|356	122481
AK8	C9orf98	356	158067
AK9	C6orf224|AKD2|C6orf199|AKD1	356	221264
AKAIN1	C18orf42		642597
AKAP1	PRKA1	396|694|780	8165
AKAP1-DT		1990	<NA>
AKAP2	PRKA2	396	<NA>
AKAP3		396	10566
AKAP4		396	8852
AKAP5		396	9495
AKAP6		396	9472
AKAP7		396	9465
AKAP8		396	10270
AKAP8L			26993
AKAP8P1			646114
AKAP9		396|694	10142
AKAP10		396	11216
AKAP11		396|694	11215
AKAP11-IT1			<NA>
AKAP12		396	9590
AKAP13	LBC	396|682|722|1691|870	11214
AKAP13-AS1		1987	<NA>
AKAP14		396	158798
AKAP17A	CXYorf3|SFRS17A	715|396	8227
AKAP17BP	AKAP16B|AKAP16BP	396	139516
AKD2	C6orf199		<NA>
AKIP1	C11orf17		56672
AKIRIN1	C1orf108		79647
AKIRIN1P1			100418731
AKIRIN1P2			<NA>
AKIRIN2	C6orf166		55122
AKIRIN2-AS1	NCRNA00120		<NA>
AKIRIN2P1			100216487
AKNA			80709
AKNAD1	C1orf62		254268
AKR1A1		399	10327
AKR1B1	ALDR1	399	231
AKR1B1P1	ALDRL1		401982
AKR1B1P2	ALDRP		236
AKR1B1P3	ALDRL3		729347
AKR1B1P4	ALDRL4		390402
AKR1B1P5	AKR1B1P		390482
AKR1B1P6			100129769
AKR1B1P7			126242
AKR1B1P8			392525
AKR1B10	AKR1B11	399	57016
AKR1B10P1			340888
AKR1B10P2			643582
AKR1B11			<NA>
AKR1B15		399	441282
AKR1C1	DDH1	399	1645
AKR1C2	DDH2|TDD	399	1646
AKR1C3	HSD17B5	399	8644
AKR1C4	CHDR	399	1109
