NCBI_Gene_ID	Approved_Symbol
215	ABCD1
2168	FABP1
2170	FABP3
2202	EFEMP1
2252	FGF7
2271	FH
2303	FOXC2
23468	CBX5
2358	FPR2
241	ALOX5AP
2495	FTH1
2592	GALT
25942	SIN3A
26585	GREM1
2746	GLUD1
29102	DROSHA
29108	PYCARD
29851	ICOS
3055	HCK
3060	HCRT
3339	HSPG2
336	APOA2
341	APOC1
3488	IGFBP5
362	AQP5
3861	KRT14
389	RHOC
4001	LMNB1
4017	LOXL2
406	BMAL1
406893	MIR101-1
406921	MIR132
406936	MIR144
406941	MIR149
406976	MIR199A1
407010	MIR23A
410	ARSA
4176	MCM7
4208	MEF2C
4345	CD200
4522	MTHFD1
4868	NPHS1
4916	NTRK3
5008	OSM
5009	OTC
5047	PAEP
5154	PDGFA
5291	PIK3CB
5293	PIK3CD
5350	PLN
5426	POLE
54600	UGT1A9
55636	CHD7
55908	ANGPTL8
573	BAG1
57447	NDRG2
5764	PTN
5771	PTPN2
6037	RNASE3
6041	RNASEL
6095	RORA
6197	RPS6KA3
6272	SORT1
6283	S100A12
629	CFB
6361	CCL17
6362	CCL18
6366	CCL21
6374	CXCL5
6392	SDHD
6416	MAP2K4
6473	SHOX
653361	NCF1
6590	SLPI
6670	SP3
6741	SSB
7013	TERF1
7066	THPO
7067	THRA
7226	TRPM2
7272	TTK
728	C5AR1
7292	TNFSF4
7314	UBB
7374	UNG
7465	WEE1
7532	YWHAG
7913	DEK
79727	LIN28A
8085	KMT2D
8200	GDF5
8434	RECK
8493	PPM1D
862	RUNX1T1
8644	AKR1C3
8863	PER3
8864	PER2
9049	AIP
91752	ZNF804A
93986	FOXP2
94	ACVRL1
9415	FADS2
953	ENTPD1
993	CDC25A
995	CDC25C
10020	GNE
10146	G3BP1
